local_port,neighbor_id,neighbor_address,neighbor_platform,neighbor_capability,neighbor_port,neighbor_version
1,3750x.pu.pri,10.254.34.17,cisco WS-C3750X-48P,Router Switch IGMP,GigabitEthernet1/0/1,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-..."
1,64 00 f1 01 6f 80,10.254.34.17,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-...",Router Switch,GigabitEthernet1/0/1,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-..."
21,3750x.pu.pri,192.168.1.1,cisco WS-C3750X-48P,Router Switch IGMP,GigabitEthernet1/1/2,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-..."
21,64 00 f1 01 6f 80,192.168.1.1,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-...",Router Switch,GigabitEthernet1/1/2,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-..."
22,3750x.pu.pri,192.168.1.1,cisco WS-C3750X-48P,Router Switch IGMP,GigabitEthernet1/1/4,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-..."
22,64 00 f1 01 6f 80,192.168.1.1,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-...",Router Switch,GigabitEthernet1/1/4,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-..."
24,fc ec da c4 6e 55,Unsupported format, , ,eth0, 
24,ea e6 4b 18 de 20,192.168.10.106,Darwin 21.6.0 Darwin Kernel Version 21.6.0: Thu Nov  9 ...,Switch,en0,Darwin 21.6.0 Darwin Kernel Version 21.6.0: Thu Nov  9 ...
24,9c 8c d8 c9 17 ae,192.168.10.144,"ArubaOS (MODEL: 515), Version Aruba IAP", ,eth0,"ArubaOS (MODEL: 515), Version Aruba IAP"
24,Garage,192.168.10.51,NanoStation 5AC loc,Trans Bridge,br0,WA.ar934x.v8.7.1.42832.200623.1641
24,3750x.pu.pri,192.168.1.1,cisco WS-C3750X-48P,Router Switch IGMP,GigabitEthernet1/0/48,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-..."
24,64 00 f1 01 6f 80,192.168.1.1,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-...",Router Switch,< Aruba 225 >,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-..."
